photo_id,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion
55,39.05571103,0.312336721,16.24613106,0.000212757,43.73255372,0.591227552,0.061823236,sad
56,0,0,0,0,0,0,0,not found
57,7.360915707,0.012720341,28.40540965,0.04414031,60.96038688,0.506297578,2.710121733,sad
58,1.037961617,1.37E-06,3.304188699,8.81E-05,94.95223165,0.046514612,0.659016101,sad
59,26.85274344,3.67E-05,16.30333461,16.63502405,0.461915535,39.72222744,0.024719945,surprise
60,71.80657983,0.030348951,11.78591922,0.131426123,11.00732088,3.28935273,1.949045248,angry
61,25.06615073,0.010162549,14.69456939,0.041457524,0.755273456,59.41085573,0.02152988,surprise
62,33.4449639,0.279513926,49.21841021,0.043059713,16.02208859,0.702774334,0.289194978,fear
63,3.251549586,77.06678187,3.05633881,0.611136874,12.74436411,0.182704315,3.087110636,disgust
64,0.043961313,9.46E-07,31.96755052,0.227897707,66.67961478,0.169523689,0.91145616,sad
65,3.300280496,0.001309259,10.5433315,0.001442635,85.75445414,0.003510101,0.39567179,sad
66,9.225386381,0.000432135,82.05676675,0.27294145,3.809917718,4.627923295,0.006632553,fear
67,9.151238948,0.147194462,8.001760393,0.001401923,82.43812919,0.008378873,0.251895585,sad
68,0.971984642,0.000616792,4.593327543,0.000217705,94.09184421,0.000301963,0.341710422,sad
69,0.068605196,5.68E-07,0.064842042,94.57266927,0.352809508,0.012824278,4.928242788,happy
70,6.886599958,0.003007874,67.81123281,3.77083309,18.93775016,1.907775365,0.68280017,fear
71,9.577504545,0.005126583,27.25844085,0.660934625,22.56878018,5.004380643,34.92483497,neutral
72,57.68670531,0.008085388,40.89342545,0.076636454,1.050194292,0.270698485,0.014256248,angry
73,2.567478708,0.000535949,1.113757451,0.03272505,0.129693882,96.13893078,0.016874659,surprise
74,0.030590726,1.66E-05,6.434016697,0.002714732,89.7393572,0.003793626,3.789514755,sad
75,6.999615252,0.015893486,11.46161252,44.26510598,32.80558782,1.868285723,2.583901738,happy
